RANK;FULL NAME;TEAM;POS;AGE;GP;MPG;MIN%;USG%;TO%;FTA;FT%;2PA;2P%;3PA;3P%;eFG%;TS%;PPG;RPG;TRB%;APG;AST%;SPG;BPG;TOPG;VI;ORTG;DRTG
;Chris Duarte;Ind;G;25.52;10;19.1;39.8;20.1;9.7;17;0.765;36;0.472;40;0.325;0.48;0.515;8.6;2.1;6;0.9;6.8;0.1;0.4;0.9;5.3;99.8;111.4
;David Duke Jr.;Bro;G;23.18;14;9;18.8;21.1;21.8;8;0.5;37;0.514;6;0;0.442;0.451;3;1.1;6.8;0.9;13.2;0.36;0.07;0.93;6.4;84.5;98.6
;Kevin Durant;Bro;F;34.22;30;36.7;76.5;31.7;13.7;224;0.929;436;0.631;141;0.362;0.609;0.674;30.4;6.6;10.3;5.3;24.8;0.73;1.63;3.57;11.1;122.8;109.8
;Jalen Duren;Det;C;19.09;29;23;47.9;12.5;16.7;57;0.544;138;0.616;1;0;0.612;0.613;6.9;8;19.3;0.7;4.6;0.62;0.83;1.14;5.9;121.7;106.8
;Tari Eason;Hou;F;21.61;29;18.7;38.9;20.3;9.4;42;0.857;165;0.448;58;0.362;0.473;0.511;8.5;5.3;15.5;0.8;7;1.24;0.48;0.86;7.1;111.4;102.8
;Anthony Edwards;Min;G;21.37;30;36.4;75.9;27.2;13.6;158;0.747;327;0.517;212;0.363;0.528;0.564;22.9;5.9;8.9;4.3;17.9;1.87;0.37;3.2;9.2;106.2;108.2
;Kessler Edwards;Bro;F;22.36;13;5.7;11.9;16.2;14.9;2;0.5;11;0.364;11;0.182;0.318;0.328;1.2;1.1;10.9;0.2;3.4;0.23;0.08;0.31;4.5;76.2;113.5
;Keon Ellis;Sac;G;22.95;3;3;6.3;4.7;0;0;0;0;0;1;0;0;0;0;0.7;12.6;0.3;12.5;0;0;0;0;;
;Joel Embiid;Phi;C-F;28.76;20;35.6;74.1;37.7;14;238;0.849;348;0.572;65;0.338;0.562;0.643;33.3;9.9;16.2;4.7;25.8;1.2;1.6;4.2;13;119.8;101.3
;Drew Eubanks;Por;F-C;25.88;28;17.2;35.8;11.7;17.1;35;0.686;89;0.753;2;0.5;0.753;0.757;5.8;4;13.1;0.8;6.9;0.39;0.96;0.79;6.2;136.6;104.8
;Bruno Fernando;Hou;F-C;24.35;12;11.9;24.8;14.7;13.7;16;0.625;36;0.639;1;0;0.622;0.636;4.7;4.3;19.3;1.3;16.2;0.33;0.83;0.58;10;132;96.2
;Dorian Finney-Smith;Dal;F;29.63;30;31.8;66.2;12.5;10.6;23;0.652;61;0.557;165;0.339;0.522;0.532;8.4;4;7.5;1.2;5.2;0.97;0.53;0.93;4.3;107.6;110.6
;Malachi Flynn;Tor;G;24.61;18;13.4;27.8;20.7;9.3;13;0.846;51;0.373;50;0.48;0.545;0.567;6.7;1.4;6.2;1.2;13.2;0.44;0.06;0.61;6.7;114.6;106.7
;Simone Fontecchio;Uta;F;27.03;17;9.8;20.5;19.9;12.6;14;0.643;19;0.474;44;0.386;0.548;0.564;4.6;1.4;7.9;0.5;6.6;0.12;0.24;0.59;6;108.6;112.4
;Bryn Forbes;Min;G;29.41;16;10.5;21.9;17.4;8.7;7;1;29;0.448;31;0.258;0.417;0.452;3.6;0.5;2.6;0.7;8.6;0.44;0;0.38;4.1;94.4;113.6
;Trent Forrest;Atl;G;24.52;13;15.1;31.4;10.8;13.9;3;0.667;40;0.5;2;0;0.476;0.485;3.2;1.8;6.6;2;17;0.46;0.15;0.54;6;107.8;110.5
;Michael Foster Jr.;Phi;F;19.92;1;1;2.1;0;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;
;Evan Fournier;Nyk;G-F;30.14;13;20;41.6;17.5;12.9;11;0.818;33;0.364;57;0.333;0.45;0.474;6.9;2.1;5.5;1.7;11.6;0.69;0.23;1.08;5.8;96.3;104.5
;De'Aaron Fox;Sac;G;25;25;32.3;67.3;28.7;12;129;0.798;291;0.557;131;0.351;0.547;0.59;22.6;5;8.8;5.8;28.7;1.04;0.44;2.6;10.8;114.9;107.3
;Markelle Fultz;Orl;G;24.56;10;26.4;55;21.3;20.9;16;0.813;83;0.458;12;0.417;0.479;0.51;10.4;3.5;7.6;4.7;27.5;1.4;0.3;2.7;8.4;100.9;106.3
;Wenyen Gabriel;Lal;F;25.73;20;13.6;28.2;14.1;15.4;22;0.818;54;0.667;13;0.308;0.627;0.665;5.1;3.7;14.2;0.7;6.6;0.55;0.5;0.7;7;126.7;100.5
;Daniel Gafford;Was;F-C;24.22;31;14.3;29.9;15.9;16.1;59;0.593;110;0.736;0;0;0.736;0.724;6.4;4.3;16.6;0.5;4.7;0.35;1.1;0.84;6.7;131;103.6
;Darius Garland;Cle;G;22.9;25;36.2;75.5;27.1;14.4;120;0.883;256;0.453;161;0.379;0.498;0.554;20.8;2.8;4.5;8;35.3;1.44;0.2;3.16;8.6;112.7;106
;Usman Garuba;Hou;F;20.78;27;14.8;30.9;9.8;19.9;28;0.536;51;0.549;13;0.538;0.602;0.603;3.4;4.9;17.9;1.1;10;0.85;0.67;0.7;7.1;122.2;102.3
;Luka Garza;Min;C;23.98;5;4.4;9.1;20.8;9.3;4;0.75;6;0.833;2;0;0.625;0.666;2.6;1.4;17.7;0.6;20.8;0;0;0.2;11.8;136.9;102
;Rudy Gay;Uta;F-G;36.34;18;15.8;32.9;16;11.1;8;0.5;43;0.512;50;0.22;0.414;0.42;4.5;3.3;11.4;0.8;6.9;0.5;0.5;0.67;5.8;89.8;108.5
;Paul George;Lac;F;32.63;22;34.1;71.1;30.3;14.6;111;0.874;231;0.498;166;0.38;0.528;0.579;23.5;6.3;10;4.9;25.2;1.41;0.45;3.45;10.5;108.9;103
;Taj Gibson;Was;F;37.49;18;7;14.5;17.4;12;14;0.786;27;0.481;11;0.273;0.461;0.521;2.6;1.3;10.1;0.4;7.7;0.33;0.17;0.33;6.3;106.9;97.1
;Josh Giddey;Okc;G;20.19;26;30.9;64.3;23.9;18.2;38;0.737;278;0.496;82;0.317;0.492;0.507;14.7;8.1;13.8;5.5;26.2;0.62;0.46;3.23;11.2;99.8;108.7
;Shai Gilgeous-Alexander;Okc;G-F;24.44;27;35.7;74.3;33.2;12;271;0.93;474;0.534;83;0.337;0.53;0.623;31.2;4.7;6.9;5.8;27.8;1.7;0.96;3.41;10.6;121.4;109.6
;Anthony Gill;Was;F;30.17;26;11.2;23.3;9.7;7.7;15;0.867;39;0.718;14;0.143;0.585;0.629;2.9;1.5;7.6;0.5;6;0.19;0.19;0.19;4.6;132.4;106.9
;Rudy Gobert;Min;C;30.48;26;31.1;64.7;16.2;13.6;131;0.702;207;0.662;3;0;0.652;0.684;14.1;12.2;21.7;0.9;4;0.85;1.23;1.62;6.9;131.6;102.8
;Jordan Goodwin;Was;G;24.16;24;22.2;46.3;15.8;13.4;33;0.727;106;0.519;47;0.404;0.546;0.57;8;4.2;10.3;3.3;20.4;1.29;0.58;1.08;8.7;119;107.1
;Aaron Gordon;Den;F;27.26;26;29.6;61.6;20.7;11.1;111;0.658;206;0.689;72;0.389;0.662;0.675;17;6.4;12.6;2.1;10.3;0.88;0.77;1.58;8.3;128.8;111.7
;Eric Gordon;Hou;G;33.98;25;29.5;61.5;17.2;15.3;54;0.852;100;0.53;136;0.353;0.53;0.57;11.8;2;3.6;2.4;12.1;0.64;0.4;1.88;5.2;109.4;119
;Devonte' Graham;Nor;G;27.82;29;15.2;31.6;15.5;11.2;31;0.806;24;0.417;105;0.362;0.519;0.557;5.5;1.5;5.6;2.1;17.5;0.48;0.24;0.62;6.8;117.6;109.5
;Jerami Grant;Por;F;28.77;28;35.7;74.4;24.1;9.4;172;0.797;256;0.488;168;0.446;0.56;0.612;21.9;4;6.4;2.6;11.7;0.75;0.82;1.86;6.8;120.4;111.7
;A.J. Green;Mil;G;23.23;12;5.8;12;16.6;7.3;3;1;5;0.8;19;0.474;0.729;0.75;3.2;0.7;6.1;0.3;8.7;0.08;0;0.17;6;142.3;97.3
;Draymond Green;Gol;F;32.79;27;31;64.6;13;26.5;40;0.7;130;0.608;44;0.318;0.575;0.595;8.4;6.1;11;6.6;27.6;0.78;0.74;2.56;9;114.7;106.7
;JaMychal Green;Gol;F-C;32.5;28;14.9;31.1;17.1;18.8;30;0.733;76;0.671;49;0.265;0.564;0.59;5.8;4;14.8;0.8;6.9;0.46;0.36;1.14;7.1;108.7;101.8
;Jalen Green;Hou;G;20.86;29;34.4;71.8;28.1;13.1;170;0.794;309;0.482;207;0.309;0.475;0.529;21.6;4.2;6.6;3.8;18.3;0.79;0.28;3.07;8.2;106.2;115.2
;Javonte Green;Chi;G-F;29.41;25;16.1;33.6;13.9;13.9;35;0.657;65;0.677;31;0.387;0.646;0.66;5.9;3.1;10.8;0.8;6.5;0.84;0.68;0.72;6.1;123.1;104.6
;Jeff Green;Den;F;36.31;22;19.3;40.1;16.5;13;45;0.756;94;0.585;27;0.296;0.554;0.597;7.6;2.9;8.6;1.2;8.1;0.32;0.27;0.95;6.2;116.2;110.8
;Josh Green;Dal;G;22.09;25;20.3;42.3;12.6;12.8;45;0.711;49;0.735;54;0.444;0.699;0.717;7;2.3;6.7;1.2;8.3;0.92;0.04;0.72;5.3;135.3;103.2
;AJ Griffin;Atl;F;19.32;26;21.4;44.5;19.7;8.4;14;0.857;109;0.578;124;0.355;0.554;0.564;10.4;2.1;5.3;1;6.5;1;0.12;0.85;5.2;110.4;112.2
;Blake Griffin;Bos;F;33.76;14;15.9;33.2;13.8;8.5;21;0.714;32;0.625;23;0.348;0.582;0.615;5.6;4.2;14.7;1.3;11;0.21;0.07;0.43;7.9;131.5;99.5
;Quentin Grimes;Nyk;G;22.61;20;24.7;51.5;12.6;13.4;22;0.818;45;0.667;75;0.373;0.6;0.625;8.1;3.4;7.2;1.8;9.7;0.7;0.5;1;5.9;120.8;104.8
;Rui Hachimura;Was;F;24.86;16;23.5;48.9;22.4;11.4;29;0.724;122;0.525;36;0.333;0.519;0.542;11.6;4.8;11.3;1.1;6.9;0.38;0.5;1.38;6.7;101;112.6
;Tyrese Haliburton;Ind;G;22.8;29;33.4;69.7;23.7;14.3;89;0.876;226;0.549;208;0.385;0.562;0.598;19.5;4;6.6;10.7;50.1;1.72;0.41;2.72;11.3;124.7;115.1
;Jordan Hall;San;G;20.93;9;9.1;19;19.7;18;9;0.778;13;0.462;15;0.2;0.375;0.438;3.1;1.3;8.2;1.2;17.6;0.11;0;0.78;7.4;91.3;116
;R.J. Hampton;Orl;G;21.86;21;15.6;32.4;18.3;13.8;31;0.871;56;0.518;49;0.347;0.519;0.573;6.5;1.6;5.9;1.5;14.6;0.76;0.19;0.9;6.4;112.8;111.2
;Tim Hardaway Jr.;Dal;G-F;30.76;29;26.2;54.6;23;7.5;69;0.783;107;0.411;220;0.359;0.497;0.53;13.1;2.7;6.2;1.7;10;0.97;0.14;1;6;105.2;110.8
;James Harden;Phi;G;33.32;14;37.6;78.4;26.6;16.5;94;0.872;119;0.496;102;0.373;0.525;0.598;22.4;6.6;10.2;10.6;44.6;1.36;0.57;3.71;12.4;120.2;106.3
;Jaden Hardy;Dal;G;20.46;9;7.1;14.8;33.2;6.4;9;1;28;0.464;12;0.083;0.363;0.432;4.2;0.9;7.4;0.3;8;0.11;0.22;0.33;5.9;86.9;101.5
;Ron Harper Jr.;Tor;F;22.69;2;3.9;8.1;21.7;0;0;0;1;0;3;0.667;0.75;0.75;3;0.5;7.3;0;0;0;0;0;0;;
;Montrezl Harrell;Phi;F-C;28.9;24;11.6;24.3;17.1;12.1;50;0.72;72;0.528;0;0;0.528;0.596;4.7;2.8;14.3;0.6;7.9;0.21;0.46;0.54;6.9;122.2;103.2
;Gary Harris;Orl;G;28.26;6;25.8;53.7;16.8;15.1;6;1;25;0.52;23;0.435;0.583;0.612;10.3;2.7;5.9;2;11.7;0.67;0.33;1.5;5.9;114.4;110.3
;Joe Harris;Bro;G-F;31.29;28;25.9;54;14.2;6.9;17;0.706;67;0.507;140;0.371;0.541;0.55;8.4;2.9;6.3;1.6;8.4;0.61;0.32;0.57;5.2;111;108.4
;Kevon Harris;Orl;G;25.49;23;11.9;24.9;14.8;16.1;26;0.846;43;0.395;24;0.375;0.455;0.529;3.6;2;9.8;0.4;5.1;0.39;0.04;0.65;4.8;106.7;106.4
;Tobias Harris;Phi;F;30.43;25;34.4;71.6;20.5;8.9;48;0.854;203;0.537;136;0.404;0.565;0.589;17;6.4;10.8;3;13.7;1.32;0.52;1.4;8;116.1;105.4
;Tobias Harris;Phi;F;30.43;25;34.4;71.6;20.5;8.9;48;0.854;203;0.537;136;0.404;0.565;0.589;17;6.4;10.8;3;13.7;1.32;0.52;1.4;8;116.1;105.4
;Isaiah Hartenstein;Nyk;C-F;24.62;30;20.3;42.3;12.7;14;29;0.793;122;0.582;25;0.24;0.544;0.573;6.1;7;18.2;0.8;5.7;0.7;0.9;0.87;6.4;122.8;99.1
;Josh Hart;Por;G;27.79;28;34.5;71.8;12.4;16.4;62;0.726;148;0.541;54;0.37;0.545;0.578;9.5;8.4;13.8;3.8;15.3;1.36;0.11;1.61;7.8;120.8;106.5
;Udonis Haslem;Mia;F;42.53;5;7;14.6;13.7;0;2;0.5;9;0.111;1;0;0.1;0.138;0.6;1.2;9.8;0;0;0.2;0.2;0;0;52.2;92.9
;Sam Hauser;Bos;F;25.03;31;16.1;33.6;14.1;5;9;0.778;18;0.778;131;0.42;0.648;0.654;6.5;2.5;8.4;0.7;6.1;0.23;0.23;0.26;5.6;127.2;107.2
;Jaxson Hayes;Nor;C-F;22.57;10;7.3;15.3;14;16.6;7;0.571;8;0.375;9;0;0.176;0.249;1;1.7;13;0.5;8.1;0.3;0.1;0.4;5.2;65.3;103
;Killian Hayes;Det;G;21.4;32;24.9;51.9;19.4;14.8;29;0.793;192;0.406;106;0.321;0.433;0.452;8.8;2.8;6.2;5.3;31.3;1.06;0.41;1.69;8.2;100.5;107.5
;Gordon Hayward;Cha;F;32.74;13;32.2;67.1;22;14.5;51;0.745;116;0.466;50;0.38;0.497;0.539;15.6;4.6;7.6;4.3;20;0.69;0.31;2.46;8.4;105.6;116.5
;Juancho Hernangomez;Tor;F;27.23;19;18.9;39.4;10.1;12.8;11;0.455;32;0.719;38;0.316;0.586;0.581;4.6;4.2;12.7;0.8;5.6;0.53;0.21;0.58;5.3;115.1;108.9
;Willy Hernangomez;Nor;C-F;28.56;12;8.9;18.5;25;19.2;24;0.833;35;0.543;5;0.2;0.513;0.603;5.1;3.4;21.6;0.6;9.4;0.33;0.17;1;9.8;113.6;100.4
;Tyler Herro;Mia;G;22.91;23;34.9;72.7;25.9;13;73;0.904;189;0.503;187;0.412;0.56;0.597;21.2;6.3;10.2;4.2;20.8;0.87;0.48;2.65;9.5;110.6;107.6
;Buddy Hield;Ind;G;30;31;31.9;66.5;22.4;13;49;0.857;154;0.545;287;0.394;0.575;0.593;17.7;4.6;8;2.6;12.8;0.97;0.32;2.23;7.5;108.7;112.4
;Haywood Highsmith;Mia;F;26.03;20;19;39.5;11.9;12.7;14;0.357;41;0.341;42;0.31;0.404;0.404;3.6;4.1;12.3;0.8;5.8;0.8;0.35;0.65;4.8;88.8;104.7
;George Hill;Mil;G;36.63;29;19.7;41.1;11.4;16.8;42;0.714;50;0.56;60;0.317;0.514;0.557;4.9;2.2;5.8;2.6;17.3;0.41;0.1;0.9;6.2;115.8;107.4
;Malcolm Hill;Chi;F;27.15;3;0.4;0.8;0;;0;0;0;0;0;0;;;0;0.3;47.2;0;0;0;0;0;0;;
;Aaron Holiday;Atl;G;26.22;26;18.1;37.7;13.5;13.9;23;0.826;77;0.429;43;0.419;0.5;0.534;5.3;1.6;4.8;1.7;11.8;0.81;0.19;0.81;5.4;108.1;107.5
;Jrue Holiday;Mil;G;32.52;22;32.7;68;26.3;15.8;57;0.895;215;0.516;137;0.365;0.528;0.561;19.2;5.2;8.4;7.4;36.3;1.5;0.41;3.23;11.1;112.9;105.2
;Justin Holiday;Atl;F-G;33.71;23;16.6;34.6;13.9;9.5;0;0;35;0.486;79;0.342;0.504;0.504;5;0.8;2.7;0.9;6.8;0.22;0.39;0.52;3.7;99;110.8
;Richaun Holmes;Sac;F;29.18;16;8.8;18.3;12.1;12.6;6;0.667;29;0.69;3;0.667;0.719;0.722;3.1;1.8;11.8;0.1;1;0.13;0.06;0.31;3.7;129.9;101.1
;Al Horford;Bos;C-F;36.55;22;30.9;64.4;11.7;8.8;8;0.625;61;0.639;101;0.446;0.657;0.659;9.9;6.2;11.2;2.6;11.6;0.41;1.09;0.73;7;131.1;107.9
;Talen Horton-Tucker;Uta;G;22.06;29;16.5;34.3;22.7;14;41;0.732;120;0.492;84;0.238;0.436;0.468;7.2;2.7;9;2.4;20.8;0.79;0.38;1.24;8.7;99.2;108.4
;Danuel House Jr.;Phi;F-G;29.53;23;18.3;38.1;11.1;12.4;29;0.759;33;0.667;46;0.348;0.582;0.621;5;2;6.4;0.7;5.6;0.26;0.22;0.57;4.2;115.4;107.6
;Caleb Houstan;Orl;G;19.94;21;18.6;38.8;10.2;6.5;13;0.846;23;0.391;57;0.351;0.488;0.519;4.2;2.6;8;0.8;5.5;0.19;0.1;0.29;4.4;115.5;109.5
;Trevor Hudgins;Hou;G;23.74;1;3.8;7.9;10.9;0;0;0;0;0;1;1;1.5;1.5;3;0;0;0;0;0;0;0;0;;
;Kevin Huerter;Sac;G-F;24.31;27;31.8;66.3;18.8;11.1;60;0.683;121;0.562;189;0.413;0.597;0.611;15.2;3.2;5.7;3.2;14.3;1.11;0.33;1.56;6.8;115.7;108.9
;De'Andre Hunter;Atl;F-G;25.05;25;30.4;63.3;21;9.2;92;0.826;204;0.49;100;0.36;0.507;0.557;15.4;3.8;6.8;1.2;5.4;0.32;0.16;1.4;5.4;108.6;109
;Bones Hyland;Den;G;22.26;21;21.1;44;29.2;12;51;0.824;111;0.387;131;0.412;0.512;0.548;13.8;2.1;5.9;3.3;22.7;0.67;0.38;1.71;8.7;108.3;111.8
;Serge Ibaka;Mil;F;33.25;15;11.3;23.6;15.1;13.2;13;0.615;32;0.563;15;0.4;0.574;0.588;4.1;2.8;13;0.3;3.3;0;0.4;0.53;5.3;112.8;100.1
;Brandon Ingram;Nor;F;25.3;15;32.1;66.8;27.1;13.7;76;0.868;171;0.474;60;0.467;0.532;0.59;20.8;5.1;8.9;4.7;22;0.87;0.67;2.8;9.9;113.2;106.6
;Kyrie Irving;Bro;G;30.74;22;36.6;76.3;29.3;9.8;96;0.917;254;0.598;181;0.337;0.56;0.602;26.1;4.8;7.5;4.5;20.1;0.82;1;2.36;9;116;110.7
;Jaden Ivey;Det;G;20.85;28;30.1;62.8;24.4;15;118;0.72;233;0.472;128;0.297;0.463;0.507;15;4.3;7.9;3.9;20.3;1.04;0.29;2.61;8.4;100.7;110.9
;Jaren Jackson Jr.;Mem;F-C;23.26;13;25.4;53;24.4;10.2;67;0.761;85;0.6;62;0.371;0.582;0.629;17.1;6.3;13.1;0.5;3.1;0.85;3.08;1.54;5.9;121.1;100.7
;Isaiah Jackson;Ind;F;20.94;27;16.2;33.7;17.6;14.1;68;0.691;123;0.569;6;0.167;0.554;0.598;7;4.3;14.7;1;9.4;0.52;1.19;0.96;7.7;117.7;101.4
;Justin Jackson;Bos;F;27.73;12;5.1;10.7;10;7.1;0;0;2;0;11;0.182;0.231;0.231;0.5;0.6;6.3;0.3;7.8;0.17;0.17;0.08;3.5;62.4;109.8
;Reggie Jackson;Lac;G;32.68;29;29.3;61;21.3;16.2;51;0.902;193;0.446;132;0.356;0.482;0.517;12.4;2.6;4.8;4;21.1;0.69;0.1;2.31;6.9;100.4;107.6
;LeBron James;Lal;F;37.97;22;36.3;75.5;31.5;11.4;107;0.71;325;0.569;157;0.312;0.536;0.56;27;8.5;12.5;6.5;30.5;1.23;0.59;3.09;12.6;110.2;108.1
;Ty Jerome;Gol;G-F;25.45;15;14.9;31.1;13.1;10;16;0.938;31;0.581;25;0.4;0.589;0.642;5.4;1.4;5.2;2;17.6;0.13;0.07;0.47;6.6;131.5;112.5
;Isaiah Joe;Okc;G;23.47;23;11.1;23.2;20;10.5;21;0.857;18;0.556;83;0.458;0.663;0.689;6.6;1.8;8.6;1;13;0.48;0.09;0.57;8.2;128.1;104.9
;Alize Johnson;San;F;26.66;4;7.4;15.4;15.4;36.8;2;0.5;4;0.75;2;0;0.5;0.509;1.8;2.5;19;0.3;4.4;0.25;0;1;6;73.7;107.3
;Cameron Johnson;Pho;F;26.79;8;25.3;52.7;18.8;2.2;11;0.727;32;0.469;51;0.431;0.578;0.592;13;3.4;7.4;1.8;9.8;1.13;0.38;0.25;6.8;126.7;108.9
;Jalen Johnson;Atl;F;21;28;16.4;34.1;14.1;10.4;23;0.696;82;0.573;46;0.217;0.484;0.507;5;3.7;12.3;1;8.3;0.54;0.5;0.57;6.5;105.8;103.4
;James Johnson;Ind;F;35.83;7;8.9;18.5;12;11.1;0;0;9;0.556;7;0.143;0.406;0.406;1.9;1.1;7.1;0.7;10.7;0.14;0.29;0.29;5.1;86.2;91.7
;Keldon Johnson;San;F-G;23.19;27;32.6;68;28.8;10.3;126;0.738;284;0.458;207;0.348;0.485;0.521;21.1;5.2;8.9;2.9;13.8;0.78;0.11;2.33;8.4;102.8;116.5
;Keon Johnson;Por;G;20.78;11;13.8;28.8;25.8;21.2;8;0.375;31;0.452;36;0.333;0.478;0.475;6.1;2;8.3;1.4;15;0.45;0.18;1.73;7.5;83.7;107.6
;Stanley Johnson;San;F-G;26.56;2;3.4;7.1;24.5;25;0;0;2;0.5;1;0;0.333;0.333;1;0.5;8.2;1;40.7;0;0;0.5;9.3;;
;Nikola Jokic;Den;C;27.83;26;32.9;68.5;28.7;16.7;182;0.802;327;0.682;66;0.318;0.648;0.692;25.2;10.9;19.2;9;44.4;1.5;0.69;3.65;16.4;132.3;105.5
;Derrick Jones Jr.;Chi;F;25.84;24;13.7;28.6;15.6;7.6;36;0.833;63;0.571;31;0.355;0.559;0.615;5.6;2.4;9.8;0.5;5.4;0.54;0.71;0.38;5.5;126.8;106.7
;Damian Jones;Lal;C;27.47;15;9.1;19;14.2;17.3;14;0.786;30;0.6;2;0;0.563;0.616;3.1;2.8;16.3;0.3;3.9;0.13;0.53;0.53;6;118.6;103.9
;Herbert Jones;Nor;F;24.2;20;27.6;57.5;15.8;10.2;62;0.758;102;0.529;55;0.309;0.506;0.559;10.3;3.5;7.1;2.3;10.7;1.05;0.7;1.05;6.3;117;102.2
;Kai Jones;Cha;C-F;21.92;21;10.2;21.2;13.1;13.5;11;0.727;42;0.548;11;0.273;0.519;0.545;3;2.3;12.2;0.2;3.3;0.24;0.48;0.43;4.4;109;104.1
;Tre Jones;San;G;22.95;28;30.4;63.3;19.3;13.9;78;0.897;238;0.458;68;0.294;0.454;0.511;12.4;3.4;6.3;6.7;30.6;1.43;0.18;1.96;8.6;111.6;116
;Tyus Jones;Mem;G;26.61;29;24;50;18.8;10.1;35;0.714;150;0.5;121;0.388;0.537;0.552;10.9;2.2;4.9;4.7;26.9;0.79;0.07;1.1;8.1;120.2;114.2
;DeAndre Jordan;Den;C;34.41;24;14.7;30.6;13.1;25.2;34;0.471;64;0.766;1;1;0.777;0.732;4.9;5.4;21.4;0.9;7.8;0.13;0.67;1.13;7.8;120.6;104.7
;Cory Joseph;Det;G;31.33;26;15.6;32.6;14.4;11.6;20;0.7;65;0.462;48;0.354;0.491;0.513;4.8;1.1;3.9;3.3;29.8;0.31;0.08;0.62;6.6;117.5;113.8
;Nikola Jovic;Mia;F;19.53;12;15.3;31.9;18.9;12.8;19;0.947;30;0.567;30;0.233;0.458;0.534;6.1;2.3;8.7;0.8;8.2;0.58;0.08;0.83;5.9;104.6;104.7
;Mfiondu Kabengele;Bos;F-C;25.35;1;8.3;17.3;10.6;0;0;0;1;1;1;0;0.5;0.5;2;4;26.7;0;0;0;0;0;0;162;104
;Frank Kaminsky;Atl;F-C;29.71;13;8.4;17.5;13.3;14.5;8;1;10;0.7;16;0.5;0.731;0.779;3.5;1.8;11.4;1.1;17.1;0.15;0;0.38;9.1;143;100.9
;Trevor Keels;Nyk;G;19.32;1;1;2.1;41.7;0;0;0;0;0;1;0;0;0;0;1;52.6;0;0;0;0;0;0;;
;Luke Kennard;Lac;G;26.49;20;22.2;46.3;15.1;13.7;10;0.9;48;0.583;80;0.488;0.676;0.687;9.1;2.7;6.5;1;6.9;0.55;0.1;1.05;5.2;118.3;107.3
;Walker Kessler;Uta;C;21.4;29;17.1;35.7;12.3;13.1;46;0.587;106;0.745;0;0;0.745;0.733;6.4;6;19.3;0.6;4.7;0.21;1.86;0.66;6.7;141.5;103.3
;Braxton Key;Det;F;25.84;3;3;6.3;8.8;0;2;1;1;1;0;0;1;1.064;1.3;0.3;6.1;0;0;0;0;0;0;;
;Corey Kispert;Was;F;23.8;23;28.3;58.9;12.8;8.4;24;0.75;64;0.609;100;0.41;0.613;0.627;9.5;2.5;4.8;1.6;7.8;0.57;0.17;0.7;4.8;122.3;114.2
;Maxi Kleber;Dal;F;30.89;22;25.7;53.4;9.9;10.6;14;0.786;39;0.692;65;0.369;0.606;0.622;6.2;3.5;8.2;1;5.2;0.32;1;0.59;4.3;122.5;108.3
;Nathan Knight;Min;F-C;25.25;13;5.2;10.9;19;22.8;13;0.769;15;0.867;3;0.333;0.806;0.822;3;1.1;11.4;0.2;6.5;0.23;0.08;0.54;6.7;127.2;107.3
;Kevin Knox II;Det;F;23.36;25;14.2;29.5;16;9.7;22;0.773;41;0.634;70;0.386;0.599;0.621;6;2.4;9.5;0.5;5.1;0.4;0.36;0.52;5.4;119.2;106.5
;Christian Koloko;Tor;C;22.5;30;16.8;35;10.8;12.4;47;0.66;85;0.482;7;0;0.446;0.501;3.8;3.4;11.6;0.5;3.9;0.27;1.27;0.53;4.4;112.4;101.4
;John Konchar;Mem;G;26.74;27;27;56.3;11.3;9;17;0.882;74;0.568;101;0.396;0.583;0.6;8.1;6.1;11.9;1.5;7.2;1.04;0.26;0.67;6.2;124.8;105.9
;Furkan Korkmaz;Phi;G-F;25.41;16;12.5;26;19;14.1;25;0.72;32;0.438;30;0.333;0.468;0.521;4.8;1.4;6.7;0.9;10.7;0.25;0.13;0.75;5.8;100.6;111.1
;Luke Kornet;Bos;F-C;27.43;26;13.5;28.2;10.8;12.7;18;0.833;62;0.742;6;0.333;0.721;0.744;4.3;3.4;14;0.8;7.9;0.19;0.92;0.42;6.7;149.3;102.7
;Vit Krejci;Atl;G;22.5;14;7;14.6;11.9;10.8;2;0.5;8;0.5;16;0.313;0.479;0.482;1.7;0.8;6.1;0.7;12.8;0.14;0.07;0.21;5.6;106.9;108.3
;Jonathan Kuminga;Gol;F;20.2;27;17.4;36.3;18.8;16.5;43;0.698;104;0.567;54;0.278;0.516;0.545;7.1;3;9.4;1.3;9.9;0.41;0.48;1.3;7;102.6;105.5
;Kyle Kuzma;Was;F;27.41;30;35.3;73.5;27.2;12.6;106;0.689;305;0.554;225;0.338;0.534;0.554;21.3;7.7;12;3.5;15.8;0.47;0.47;2.77;9.4;104.2;109.2
;Anthony Lamb;Gol;F;24.91;23;17.9;37.2;12.7;19.3;6;0.333;34;0.735;64;0.391;0.638;0.631;5.5;3.1;9.5;1.5;10.8;0.61;0.3;1.04;6.6;111.7;105
;Jock Landale;Pho;C;27.15;27;13.7;28.5;19.5;13.5;44;0.795;92;0.663;36;0.167;0.547;0.594;6.5;3.7;15.2;0.7;7.7;0.22;0.7;0.85;7.5;118.2;101.4
;Romeo Langford;San;G-F;23.15;16;19.8;41.2;14.5;11.8;23;0.696;63;0.587;24;0.208;0.511;0.541;6.6;3;8.5;0.9;6.4;0.69;0.44;0.81;5.3;111.1;114
