RANK;FULL NAME;TEAM;POS;AGE;GP;MPG;MIN%;USG%;TO%;FTA;FT%;2PA;2P%;3PA;3P%;eFG%;TS%;PPG;RPG;TRB%;APG;AST%;SPG;BPG;TOPG;VI;ORTG;DRTG
;Will Barton;Was;G;31.95;29;22.8;47.5;18.9;11.9;33;0.818;126;0.381;112;0.366;0.46;0.487;8.5;3.1;7.5;2.8;17.2;0.55;0.31;1.17;7.4;99.6;112.9
;Charles Bassey;San;C-F;22.14;19;15.5;32.4;14.1;23.1;22;0.636;61;0.721;6;0.333;0.701;0.704;5.7;5.9;21.2;1.5;13.3;0.37;1.16;1.21;9.5;124.8;102.7
;Keita Bates-Diop;San;F;26.9;24;18.9;39.4;16.6;10.5;34;0.794;113;0.593;34;0.353;0.578;0.608;8.2;3;9;0.8;6.3;0.67;0.17;0.79;5.7;118.7;118.4
;Nicolas Batum;Lac;G-F;34.01;32;20.9;43.6;11.5;12.5;22;0.591;34;0.559;111;0.405;0.597;0.601;5.8;4.3;11.1;1.3;9;0.59;0.72;0.69;6.1;119.1;101.6
;Darius Bazley;Okc;F-G;22.52;21;16.9;35.2;15.8;8.9;35;0.514;77;0.468;31;0.355;0.486;0.498;5.9;3.9;12.1;1;8.3;0.57;1.19;0.57;6.7;106.1;107.7
;Bradley Beal;Was;G;29.48;19;34.9;72.6;27;13.2;92;0.87;225;0.596;91;0.341;0.571;0.619;23.2;3.6;5.7;5.3;24.9;1.11;0.58;2.84;8.7;116.9;113.3
;Malik Beasley;Uta;G;26.06;32;27.4;57.1;20.9;7.6;24;0.833;119;0.479;274;0.398;0.561;0.571;14.4;3.8;7.5;1.6;8.3;0.91;0.16;1.03;6.5;112.6;114.2
;MarJon Beauchamp;Mil;F;22.18;18;15.5;32.3;19.4;15.6;19;0.737;45;0.489;55;0.327;0.49;0.517;6.2;2.9;10;0.6;5.1;0.56;0.11;1.11;5.7;98.2;100
;Davis Bertans;Dal;F;30.1;11;7.5;15.7;20.1;8.2;6;0.833;6;0.333;25;0.36;0.5;0.535;3.3;0.7;5.7;0.4;7.2;0.09;0;0.27;5.2;106.3;101.3
;Patrick Beverley;Lal;G;34.44;22;26.2;54.6;9.9;14.1;25;0.76;35;0.429;70;0.271;0.414;0.457;4.8;3.7;7.5;2.5;11.9;0.86;0.5;0.86;5.4;100.9;104.5
;Saddiq Bey;Det;F;23.7;28;28.8;60;20.8;7.3;115;0.852;167;0.503;148;0.297;0.476;0.544;14.2;4;7.7;1.6;8.3;0.86;0.14;1.04;6.2;112.8;115.1
;Khem Birch;Tor;C;30.22;17;7.3;15.3;12;14.2;5;0.8;26;0.615;2;0.5;0.625;0.646;2.3;1.1;8.2;0.3;5.7;0.29;0.24;0.29;5;122.5;100.9
;Goga Bitadze;Ind;C-F;23.42;16;9.9;20.6;15.8;16.7;18;0.5;30;0.667;12;0.25;0.583;0.581;3.6;2.3;12.8;1;14.4;0.38;0.56;0.63;8.2;116.1;99.1
;Bismack Biyombo;Pho;C;30.31;24;13.3;27.7;13.6;23.5;28;0.393;66;0.576;0;0;0.576;0.555;3.6;3.6;15;0.8;8.2;0.25;1.42;1;6.6;100.9;99.6
;Buddy Boeheim;Det;F;23.1;1;1;2.1;0;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;
;Bojan Bogdanovic;Det;F;33.67;31;31.1;64.8;25.5;12.4;161;0.901;248;0.552;189;0.423;0.588;0.649;21.3;3.5;6.2;2.5;13.3;0.55;0.03;2.32;7.3;120.1;116.7
